id,Name of the place,BHK,Buildup Area (sq.ft),Price (Cr.)
1163,"Mavalli,Bangalore",10,8000,5.5
1164,"BDA Layout BTM 4th Stage, Bommanahalli,Bangalore",4,3900,3.85
1165,"Stage 2, Nagarbhavi,Bangalore",3,3200,3.1
1166,"Harapanahalli,Bangalore",4,6000,3.1
1167,"Bangalore City Municipal Corporation Layout,Bangalore",5,5000,2.5
1168,"Raghavendra Layout Chikkabanavara,Thammenahalli Village,Bangalore",4,1000,1.75
1169,"Sai Residency,Railway Layout, Jnana Ganga Nagar,Bangalore",4,1200,3.5
1170,"Hemmigepura,Bangalore",3,1500,1.3
1171,"BEL, Vidyaranyapura,Bangalore",9,12321,9
1172,"Bashyam Nagar, Srirampuram,Bangalore",5,7500,5.86
1173,"Yadavanahalli,Bangalore",8,4800,1.1
1174,"Singapura Village, Varadharaja Nagar,Bangalore",2,4800,2.75
1175,"Cheemasandra,Bangalore",3,920,0.8
1176,"Ankappa Layout, Uttarahalli Hobli,Bangalore",10,3700,2
1177,"Vivekananda Nagar, Banashankari,Bangalore",3,1350,2.6
1178,"Banashankari 6th Stage 6th Block,Bangalore",4,1900,1.1
1179,"Rajajinagar,Bangalore",7,5000,4.3
1180,"Seeghehalli, Krishnarajapura,Bangalore",7,3600,1.9
1181,"Kada Agrahara ,Bangalore",2,1050,0.75
1182,"Corporation ,East Of NGEF Layout, Kasturi Nagar,Bangalore",5,3500,6
1183,"Doddabanalli circle off white field road near safely market,Chikkabana Halli,Bangalore",4,2200,0.99
1184,"Kattigenahalli,Bangalore",2,3000,1.08
1185,"Virgonagar, Aavalahalli,Bangalore",5,2252,0.85
1186,"Hancharahalli Village,Bangalore",3,1900,1.1
1187,"Margondanahalli,Bangalore",2,1000,1.2
1188,"PNB Layout, Konanakunte,Bangalore",10,4200,2.5
1189,"Yelahanka,Bangalore",5,4000,6.6
1190,"Sri krishna real estate ,Thotada Guddadhalli Village,Bangalore",4,1800,0.9
1191,"Mattanahalli,Bangalore",3,1450,0.79
1192,"Sai Residency,Railway Layout, Jnana Ganga Nagar,Bangalore",4,1200,3.5
1193,"Bangalore City Municipal Corporation Layout,Bangalore",5,5000,2.5
1194,"Srikrupa Layout, Abbigere, Abbigere,Bangalore",5,4600,1.95
1195,"Yadavanahalli,Bangalore",8,4800,1.1
1196,"Singapura Village, Varadharaja Nagar,Bangalore",2,4800,2.75
1197,"Cheemasandra,Bangalore",3,920,0.8
1198,"Hemmigepura,Bangalore",3,1500,1.3
1199,"Ankappa Layout, Uttarahalli Hobli,Bangalore",10,3700,2
1200,"BDA Layout BTM 4th Stage, Bommanahalli,Bangalore",4,3900,3.85
1201,"Stage 2, Nagarbhavi,Bangalore",3,3200,3.1
1202,"Harapanahalli,Bangalore",4,6000,3.1
1203,"BEL, Vidyaranyapura,Bangalore",9,12321,9
1204,"Bashyam Nagar, Srirampuram,Bangalore",5,7500,5.86
1205,"Raghavendra Layout Chikkabanavara,Thammenahalli Village,Bangalore",4,1000,1.75
1206,"Mavalli,Bangalore",10,8000,5.5
1207,"Doddabanalli circle off white field road near safely market,Chikkabana Halli,Bangalore",4,2200,0.99
1208,"Sri krishna real estate ,Thotada Guddadhalli Village,Bangalore",4,1800,0.9
1209,"Kattigenahalli,Bangalore",2,3000,1.08
1210,"Virgonagar, Aavalahalli,Bangalore",5,2252,0.85
1211,"Mattanahalli,Bangalore",3,1450,0.79
1212,"Raghavendra Layout Chikkabanavara,Thammenahalli Village,Bangalore",4,1000,1.75
1213,"Hemmigepura,Bangalore",3,1500,1.3
1214,"Mavalli,Bangalore",10,8000,5.5
1215,"Bangalore City Municipal Corporation Layout,Bangalore",5,5000,2.5
1216,"Srikrupa Layout, Abbigere, Abbigere,Bangalore",5,4600,1.95
1217,"Sai Residency,Railway Layout, Jnana Ganga Nagar,Bangalore",4,1200,3.5
1218,"BDA Layout BTM 4th Stage, Bommanahalli,Bangalore",4,3900,3.85
1219,"Stage 2, Nagarbhavi,Bangalore",3,3200,3.1
1220,"BEL, Vidyaranyapura,Bangalore",9,12321,9
1221,"Bashyam Nagar, Srirampuram,Bangalore",5,7500,5.86
1222,"Harapanahalli,Bangalore",4,6000,3.1
1223,"Yadavanahalli,Bangalore",8,4800,1.1
1224,"Singapura Village, Varadharaja Nagar,Bangalore",2,4800,2.75
1225,"Cheemasandra,Bangalore",3,920,0.8
1226,"Ankappa Layout, Uttarahalli Hobli,Bangalore",10,3700,2
1227,"Sri krishna real estate ,Thotada Guddadhalli Village,Bangalore",4,1800,0.9
1228,"PNB Layout, Konanakunte,Bangalore",10,4200,2.5
1229,"Banashankari 6th Stage 6th Block,Bangalore",4,1900,1.1
1230,"Kada Agrahara ,Bangalore",2,1050,0.75
1231,"Mattanahalli,Bangalore",3,1450,0.79
1232,"Sai Residency,Railway Layout, Jnana Ganga Nagar,Bangalore",4,1200,3.5
1233,"Bangalore City Municipal Corporation Layout,Bangalore",5,5000,2.5
1234,"Srikrupa Layout, Abbigere, Abbigere,Bangalore",5,4600,1.95
1235,"Yadavanahalli,Bangalore",8,4800,1.1
1236,"Singapura Village, Varadharaja Nagar,Bangalore",2,4800,2.75
1237,"Cheemasandra,Bangalore",3,920,0.8
1238,"Hemmigepura,Bangalore",3,1500,1.3
1239,"Ankappa Layout, Uttarahalli Hobli,Bangalore",10,3700,2
1240,"BDA Layout BTM 4th Stage, Bommanahalli,Bangalore",4,3900,3.85
1241,"Stage 2, Nagarbhavi,Bangalore",3,3200,3.1
1242,"Harapanahalli,Bangalore",4,6000,3.1
1243,"BEL, Vidyaranyapura,Bangalore",9,12321,9
1244,"Bashyam Nagar, Srirampuram,Bangalore",5,7500,5.86
1245,"Raghavendra Layout Chikkabanavara,Thammenahalli Village,Bangalore",4,1000,1.75
1246,"Mavalli,Bangalore",10,8000,5.5
1247,"Kada Agrahara ,Bangalore",2,1050,0.75
1248,"Corporation ,East Of NGEF Layout, Kasturi Nagar,Bangalore",5,3500,6
1249,"PNB Layout, Konanakunte,Bangalore",10,4200,2.5
1250,"Yelahanka,Bangalore",5,4000,6.6
1251,"Mattanahalli,Bangalore",3,1450,0.79
1252,"Srikrupa Layout, Abbigere, Abbigere,Bangalore",5,4600,1.95
1253,"Bangalore City Municipal Corporation Layout,Bangalore",5,5000,2.5
1254,"BEL, Vidyaranyapura,Bangalore",9,12321,9
1255,"Raghavendra Layout Chikkabanavara,Thammenahalli Village,Bangalore",4,1000,1.75
1256,"Mavalli,Bangalore",10,8000,5.5
1257,"Harapanahalli,Bangalore",4,6000,3.1
1258,"Sai Residency,Railway Layout, Jnana Ganga Nagar,Bangalore",4,1200,3.5
1259,"Yadavanahalli,Bangalore",8,4800,1.1
1260,"Hemmigepura,Bangalore",3,1500,1.3
1261,"BDA Layout BTM 4th Stage, Bommanahalli,Bangalore",4,3900,3.85
1262,"Stage 2, Nagarbhavi,Bangalore",3,3200,3.1
1263,"Singapura Village, Varadharaja Nagar,Bangalore",2,4800,2.75
1264,"Cheemasandra,Bangalore",3,920,0.8
1265,"Bashyam Nagar, Srirampuram,Bangalore",5,7500,5.86
1266,"Ankappa Layout, Uttarahalli Hobli,Bangalore",10,3700,2
1267,"Vivekananda Nagar, Banashankari,Bangalore",3,1350,2.6
1268,"Banashankari 6th Stage 6th Block,Bangalore",4,1900,1.1
1269,"Rajajinagar,Bangalore",7,5000,4.3
1270,"Seeghehalli, Krishnarajapura,Bangalore",7,3600,1.9
1271,"Kada Agrahara ,Bangalore",2,1050,0.75
1272,"Corporation ,East Of NGEF Layout, Kasturi Nagar,Bangalore",5,3500,6
1273,"Doddabanalli circle off white field road near safely market,Chikkabana Halli,Bangalore",4,2200,0.99
1274,"Kattigenahalli,Bangalore",2,3000,1.08
1275,"Virgonagar, Aavalahalli,Bangalore",5,2252,0.85
1276,"Hancharahalli Village,Bangalore",3,1900,1.1
1277,"Margondanahalli,Bangalore",2,1000,1.2
1278,"PNB Layout, Konanakunte,Bangalore",10,4200,2.5
1279,"Yelahanka,Bangalore",5,4000,6.6
1280,"Sri krishna real estate ,Thotada Guddadhalli Village,Bangalore",4,1800,0.9
1281,"Mattanahalli,Bangalore",3,1450,0.79
1282,"BEL, Vidyaranyapura,Bangalore",9,12321,9
1283,"Harapanahalli,Bangalore",4,6000,3.1
1284,"BDA Layout BTM 4th Stage, Bommanahalli,Bangalore",4,3900,3.85
1285,"Stage 2, Nagarbhavi,Bangalore",3,3200,3.1
1286,"Ankappa Layout, Uttarahalli Hobli,Bangalore",10,3700,2
1287,"Raghavendra Layout Chikkabanavara,Thammenahalli Village,Bangalore",4,1000,1.75
1288,"Bangalore City Municipal Corporation Layout,Bangalore",5,5000,2.5
1289,"Sai Residency,Railway Layout, Jnana Ganga Nagar,Bangalore",4,1200,3.5
1290,"Srikrupa Layout, Abbigere, Abbigere,Bangalore",5,4600,1.95
1291,"Mavalli,Bangalore",10,8000,5.5
1292,"Hemmigepura,Bangalore",3,1500,1.3
1293,"Bashyam Nagar, Srirampuram,Bangalore",5,7500,5.86
1294,"Yadavanahalli,Bangalore",8,4800,1.1
1295,"Singapura Village, Varadharaja Nagar,Bangalore",2,4800,2.75
1296,"Cheemasandra,Bangalore",3,920,0.8
1297,"Margondanahalli,Bangalore",2,1000,1.2
1298,"Hancharahalli Village,Bangalore",3,1900,1.1
1299,"Rajajinagar,Bangalore",7,5000,4.3
1300,"Kattigenahalli,Bangalore",2,3000,1.08
1301,"Virgonagar, Aavalahalli,Bangalore",5,2252,0.85
1302,"Corporation ,East Of NGEF Layout, Kasturi Nagar,Bangalore",5,3500,6
1303,"Kada Agrahara ,Bangalore",2,1050,0.75
1304,"Sri krishna real estate ,Thotada Guddadhalli Village,Bangalore",4,1800,0.9
1305,"Seeghehalli, Krishnarajapura,Bangalore",7,3600,1.9
1306,"Vivekananda Nagar, Banashankari,Bangalore",3,1350,2.6
1307,"PNB Layout, Konanakunte,Bangalore",10,4200,2.5
1308,"Banashankari 6th Stage 6th Block,Bangalore",4,1900,1.1
1309,"Doddabanalli circle off white field road near safely market,Chikkabana Halli,Bangalore",4,2200,0.99
1310,"Yelahanka,Bangalore",5,4000,6.6
1311,"Mattanahalli,Bangalore",3,1450,0.79
1312,"Sai Residency,Railway Layout, Jnana Ganga Nagar,Bangalore",4,1200,3.5
1313,"Bangalore City Municipal Corporation Layout,Bangalore",5,5000,2.5
1314,"Srikrupa Layout, Abbigere, Abbigere,Bangalore",5,4600,1.95
1315,"Yadavanahalli,Bangalore",8,4800,1.1
1316,"Singapura Village, Varadharaja Nagar,Bangalore",2,4800,2.75
1317,"Cheemasandra,Bangalore",3,920,0.8
1318,"Hemmigepura,Bangalore",3,1500,1.3
1319,"Ankappa Layout, Uttarahalli Hobli,Bangalore",10,3700,2
1320,"BDA Layout BTM 4th Stage, Bommanahalli,Bangalore",4,3900,3.85
1321,"Stage 2, Nagarbhavi,Bangalore",3,3200,3.1
1322,"Harapanahalli,Bangalore",4,6000,3.1
1323,"BEL, Vidyaranyapura,Bangalore",9,12321,9
1324,"Bashyam Nagar, Srirampuram,Bangalore",5,7500,5.86
1325,"Raghavendra Layout Chikkabanavara,Thammenahalli Village,Bangalore",4,1000,1.75
1326,"Mavalli,Bangalore",10,8000,5.5
1327,"Margondanahalli,Bangalore",2,1000,1.2
1328,"Hancharahalli Village,Bangalore",3,1900,1.1
1329,"Rajajinagar,Bangalore",7,5000,4.3
1330,"Kattigenahalli,Bangalore",2,3000,1.08
1331,"Mattanahalli,Bangalore",3,1450,0.79
1332,"Bangalore City Municipal Corporation Layout,Bangalore",5,5000,2.5
1333,"Sai Residency,Railway Layout, Jnana Ganga Nagar,Bangalore",4,1200,3.5
1334,"Yadavanahalli,Bangalore",8,4800,1.1
1335,"Harapanahalli,Bangalore",4,6000,3.1
1336,"Singapura Village, Varadharaja Nagar,Bangalore",2,4800,2.75
1337,"Cheemasandra,Bangalore",3,920,0.8
1338,"Hemmigepura,Bangalore",3,1500,1.3
1339,"BEL, Vidyaranyapura,Bangalore",9,12321,9
1340,"Raghavendra Layout Chikkabanavara,Thammenahalli Village,Bangalore",4,1000,1.75
1341,"Ankappa Layout, Uttarahalli Hobli,Bangalore",10,3700,2
1342,"BDA Layout BTM 4th Stage, Bommanahalli,Bangalore",4,3900,3.85
1343,"Stage 2, Nagarbhavi,Bangalore",3,3200,3.1
1344,"Srikrupa Layout, Abbigere, Abbigere,Bangalore",5,4600,1.95
1345,"Mavalli,Bangalore",10,8000,5.5
1346,"Bashyam Nagar, Srirampuram,Bangalore",5,7500,5.86
1347,"Margondanahalli,Bangalore",2,1000,1.2
1348,"Hancharahalli Village,Bangalore",3,1900,1.1
1349,"Rajajinagar,Bangalore",7,5000,4.3
1350,"Kattigenahalli,Bangalore",2,3000,1.08
1351,"Mattanahalli,Bangalore",3,1450,0.79
1352,"Bangalore City Municipal Corporation Layout,Bangalore",5,5000,2.5
1353,"Sai Residency,Railway Layout, Jnana Ganga Nagar,Bangalore",4,1200,3.5
1354,"Yadavanahalli,Bangalore",8,4800,1.1
1355,"Harapanahalli,Bangalore",4,6000,3.1
1356,"Singapura Village, Varadharaja Nagar,Bangalore",2,4800,2.75
1357,"Cheemasandra,Bangalore",3,920,0.8
1358,"Hemmigepura,Bangalore",3,1500,1.3
1359,"BEL, Vidyaranyapura,Bangalore",9,12321,9
1360,"Raghavendra Layout Chikkabanavara,Thammenahalli Village,Bangalore",4,1000,1.75
1361,"Ankappa Layout, Uttarahalli Hobli,Bangalore",10,3700,2
1362,"BDA Layout BTM 4th Stage, Bommanahalli,Bangalore",4,3900,3.85
1363,"Stage 2, Nagarbhavi,Bangalore",3,3200,3.1
1364,"Srikrupa Layout, Abbigere, Abbigere,Bangalore",5,4600,1.95
1365,"Mavalli,Bangalore",10,8000,5.5
1366,"Bashyam Nagar, Srirampuram,Bangalore",5,7500,5.86
1367,"Doddabanalli circle off white field road near safely market,Chikkabana Halli,Bangalore",4,2200,0.99
1368,"Sri krishna real estate ,Thotada Guddadhalli Village,Bangalore",4,1800,0.9
1369,"Kattigenahalli,Bangalore",2,3000,1.08
1370,"Virgonagar, Aavalahalli,Bangalore",5,2252,0.85
1371,"Mattanahalli,Bangalore",3,1450,0.79
1372,"Srikrupa Layout, Abbigere, Abbigere,Bangalore",5,4600,1.95
1373,"Mavalli,Bangalore",10,8000,5.5
1374,"BDA Layout BTM 4th Stage, Bommanahalli,Bangalore",4,3900,3.85
1375,"Stage 2, Nagarbhavi,Bangalore",3,3200,3.1
1376,"Harapanahalli,Bangalore",4,6000,3.1
1377,"Bangalore City Municipal Corporation Layout,Bangalore",5,5000,2.5
1378,"Raghavendra Layout Chikkabanavara,Thammenahalli Village,Bangalore",4,1000,1.75
1379,"Sai Residency,Railway Layout, Jnana Ganga Nagar,Bangalore",4,1200,3.5
1380,"Hemmigepura,Bangalore",3,1500,1.3
1381,"BEL, Vidyaranyapura,Bangalore",9,12321,9
1382,"Bashyam Nagar, Srirampuram,Bangalore",5,7500,5.86
1383,"Yadavanahalli,Bangalore",8,4800,1.1
1384,"Singapura Village, Varadharaja Nagar,Bangalore",2,4800,2.75
1385,"Cheemasandra,Bangalore",3,920,0.8
1386,"Ankappa Layout, Uttarahalli Hobli,Bangalore",10,3700,2
1387,"Vivekananda Nagar, Banashankari,Bangalore",3,1350,2.6
1388,"Banashankari 6th Stage 6th Block,Bangalore",4,1900,1.1
1389,"Hancharahalli Village,Bangalore",3,1900,1.1
1390,"Rajajinagar,Bangalore",7,5000,4.3
1391,"Mattanahalli,Bangalore",3,1450,0.79
1392,"Mavalli,Bangalore",10,8000,5.5
1393,"Yadavanahalli,Bangalore",8,4800,1.1
1394,"Sai Residency,Railway Layout, Jnana Ganga Nagar,Bangalore",4,1200,3.5
1395,"Singapura Village, Varadharaja Nagar,Bangalore",2,4800,2.75
1396,"Cheemasandra,Bangalore",3,920,0.8
1397,"Ankappa Layout, Uttarahalli Hobli,Bangalore",10,3700,2
1398,"BDA Layout BTM 4th Stage, Bommanahalli,Bangalore",4,3900,3.85
1399,"Stage 2, Nagarbhavi,Bangalore",3,3200,3.1
1400,"Bangalore City Municipal Corporation Layout,Bangalore",5,5000,2.5
1401,"Bashyam Nagar, Srirampuram,Bangalore",5,7500,5.86
1402,"Harapanahalli,Bangalore",4,6000,3.1
1403,"Raghavendra Layout Chikkabanavara,Thammenahalli Village,Bangalore",4,1000,1.75
1404,"BEL, Vidyaranyapura,Bangalore",9,12321,9
1405,"Srikrupa Layout, Abbigere, Abbigere,Bangalore",5,4600,1.95
1406,"Hemmigepura,Bangalore",3,1500,1.3
1407,"Doddabanalli circle off white field road near safely market,Chikkabana Halli,Bangalore",4,2200,0.99
1408,"Sri krishna real estate ,Thotada Guddadhalli Village,Bangalore",4,1800,0.9
1409,"Kattigenahalli,Bangalore",2,3000,1.08
1410,"Virgonagar, Aavalahalli,Bangalore",5,2252,0.85
1411,"Mattanahalli,Bangalore",3,1450,0.79
1412,"Sai Residency,Railway Layout, Jnana Ganga Nagar,Bangalore",4,1200,3.5
1413,"Bangalore City Municipal Corporation Layout,Bangalore",5,5000,2.5
1414,"Srikrupa Layout, Abbigere, Abbigere,Bangalore",5,4600,1.95
1415,"Yadavanahalli,Bangalore",8,4800,1.1
1416,"Singapura Village, Varadharaja Nagar,Bangalore",2,4800,2.75
1417,"Cheemasandra,Bangalore",3,920,0.8
1418,"Hemmigepura,Bangalore",3,1500,1.3
1419,"Ankappa Layout, Uttarahalli Hobli,Bangalore",10,3700,2
1420,"BDA Layout BTM 4th Stage, Bommanahalli,Bangalore",4,3900,3.85
1421,"Stage 2, Nagarbhavi,Bangalore",3,3200,3.1
1422,"Harapanahalli,Bangalore",4,6000,3.1
1423,"BEL, Vidyaranyapura,Bangalore",9,12321,9
1424,"Bashyam Nagar, Srirampuram,Bangalore",5,7500,5.86
1425,"Raghavendra Layout Chikkabanavara,Thammenahalli Village,Bangalore",4,1000,1.75
1426,"Mavalli,Bangalore",10,8000,5.5
1427,"Vivekananda Nagar, Banashankari,Bangalore",3,1350,2.6
1428,"Banashankari 6th Stage 6th Block,Bangalore",4,1900,1.1
1429,"Hancharahalli Village,Bangalore",3,1900,1.1
1430,"Rajajinagar,Bangalore",7,5000,4.3
1431,"Margondanahalli,Bangalore",2,1000,1.2
1432,"Doddabanalli circle off white field road near safely market,Chikkabana Halli,Bangalore",4,2200,0.99
1433,"Kattigenahalli,Bangalore",2,3000,1.08
1434,"Virgonagar, Aavalahalli,Bangalore",5,2252,0.85
1435,"PNB Layout, Konanakunte,Bangalore",10,4200,2.5
1436,"Yelahanka,Bangalore",5,4000,6.6
1437,"Kada Agrahara ,Bangalore",2,1050,0.75
1438,"Corporation ,East Of NGEF Layout, Kasturi Nagar,Bangalore",5,3500,6
1439,"Sri krishna real estate ,Thotada Guddadhalli Village,Bangalore",4,1800,0.9
1440,"Seeghehalli, Krishnarajapura,Bangalore",7,3600,1.9
1441,"Mattanahalli,Bangalore",3,1450,0.79
1442,"Srikrupa Layout, Abbigere, Abbigere,Bangalore",5,4600,1.95
1443,"Mavalli,Bangalore",10,8000,5.5
1444,"BDA Layout BTM 4th Stage, Bommanahalli,Bangalore",4,3900,3.85
1445,"Stage 2, Nagarbhavi,Bangalore",3,3200,3.1
1446,"Harapanahalli,Bangalore",4,6000,3.1
1447,"Bangalore City Municipal Corporation Layout,Bangalore",5,5000,2.5
1448,"Raghavendra Layout Chikkabanavara,Thammenahalli Village,Bangalore",4,1000,1.75
1449,"Sai Residency,Railway Layout, Jnana Ganga Nagar,Bangalore",4,1200,3.5
1450,"Hemmigepura,Bangalore",3,1500,1.3
1451,"BEL, Vidyaranyapura,Bangalore",9,12321,9
1452,"Bashyam Nagar, Srirampuram,Bangalore",5,7500,5.86
1453,"Yadavanahalli,Bangalore",8,4800,1.1
1454,"Singapura Village, Varadharaja Nagar,Bangalore",2,4800,2.75
1455,"Cheemasandra,Bangalore",3,920,0.8
1456,"Ankappa Layout, Uttarahalli Hobli,Bangalore",10,3700,2
1457,"Doddabanalli circle off white field road near safely market,Chikkabana Halli,Bangalore",4,2200,0.99
1458,"Sri krishna real estate ,Thotada Guddadhalli Village,Bangalore",4,1800,0.9
1459,"Kattigenahalli,Bangalore",2,3000,1.08
1460,"Virgonagar, Aavalahalli,Bangalore",5,2252,0.85
1461,"Rajajinagar,Bangalore",7,5000,4.3
1462,"PNB Layout, Konanakunte,Bangalore",10,4200,2.5
1463,"Yelahanka,Bangalore",5,4000,6.6
1464,"Margondanahalli,Bangalore",2,1000,1.2
1465,"Hancharahalli Village,Bangalore",3,1900,1.1
1466,"Banashankari 6th Stage 6th Block,Bangalore",4,1900,1.1
1467,"Seeghehalli, Krishnarajapura,Bangalore",7,3600,1.9
1468,"Vivekananda Nagar, Banashankari,Bangalore",3,1350,2.6
1469,"Kada Agrahara ,Bangalore",2,1050,0.75
1470,"Corporation ,East Of NGEF Layout, Kasturi Nagar,Bangalore",5,3500,6
1471,"Mattanahalli,Bangalore",3,1450,0.79
1472,"Sai Residency,Railway Layout, Jnana Ganga Nagar,Bangalore",4,1200,3.5
1473,"Bangalore City Municipal Corporation Layout,Bangalore",5,5000,2.5
1474,"Srikrupa Layout, Abbigere, Abbigere,Bangalore",5,4600,1.95
1475,"Yadavanahalli,Bangalore",8,4800,1.1
1476,"Singapura Village, Varadharaja Nagar,Bangalore",2,4800,2.75
1477,"Cheemasandra,Bangalore",3,920,0.8
1478,"Hemmigepura,Bangalore",3,1500,1.3
1479,"Ankappa Layout, Uttarahalli Hobli,Bangalore",10,3700,2
1480,"BDA Layout BTM 4th Stage, Bommanahalli,Bangalore",4,3900,3.85
1481,"Stage 2, Nagarbhavi,Bangalore",3,3200,3.1
1482,"Harapanahalli,Bangalore",4,6000,3.1
1483,"BEL, Vidyaranyapura,Bangalore",9,12321,9
1484,"Bashyam Nagar, Srirampuram,Bangalore",5,7500,5.86
1485,"Raghavendra Layout Chikkabanavara,Thammenahalli Village,Bangalore",4,1000,1.75
1486,"Mavalli,Bangalore",10,8000,5.5
1487,"Margondanahalli,Bangalore",2,1000,1.2
1488,"Hancharahalli Village,Bangalore",3,1900,1.1
1489,"Rajajinagar,Bangalore",7,5000,4.3
1490,"Kattigenahalli,Bangalore",2,3000,1.08
1491,"Virgonagar, Aavalahalli,Bangalore",5,2252,0.85
1492,"Corporation ,East Of NGEF Layout, Kasturi Nagar,Bangalore",5,3500,6
1493,"Kada Agrahara ,Bangalore",2,1050,0.75
1494,"Sri krishna real estate ,Thotada Guddadhalli Village,Bangalore",4,1800,0.9
1495,"Seeghehalli, Krishnarajapura,Bangalore",7,3600,1.9
1496,"Vivekananda Nagar, Banashankari,Bangalore",3,1350,2.6
1497,"PNB Layout, Konanakunte,Bangalore",10,4200,2.5
1498,"Banashankari 6th Stage 6th Block,Bangalore",4,1900,1.1
1499,"Doddabanalli circle off white field road near safely market,Chikkabana Halli,Bangalore",4,2200,0.99
1500,"Yelahanka,Bangalore",5,4000,6.6
1501,"Mattanahalli,Bangalore",3,1450,0.79
1502,"BEL, Vidyaranyapura,Bangalore",9,12321,9
1503,"Harapanahalli,Bangalore",4,6000,3.1
1504,"BDA Layout BTM 4th Stage, Bommanahalli,Bangalore",4,3900,3.85
1505,"Stage 2, Nagarbhavi,Bangalore",3,3200,3.1
1506,"Ankappa Layout, Uttarahalli Hobli,Bangalore",10,3700,2
1507,"Raghavendra Layout Chikkabanavara,Thammenahalli Village,Bangalore",4,1000,1.75
1508,"Bangalore City Municipal Corporation Layout,Bangalore",5,5000,2.5
1509,"Sai Residency,Railway Layout, Jnana Ganga Nagar,Bangalore",4,1200,3.5
1510,"Srikrupa Layout, Abbigere, Abbigere,Bangalore",5,4600,1.95
1511,"Mavalli,Bangalore",10,8000,5.5
1512,"Hemmigepura,Bangalore",3,1500,1.3
1513,"Bashyam Nagar, Srirampuram,Bangalore",5,7500,5.86
1514,"Yadavanahalli,Bangalore",8,4800,1.1
1515,"Singapura Village, Varadharaja Nagar,Bangalore",2,4800,2.75
1516,"Cheemasandra,Bangalore",3,920,0.8
1517,"Yelahanka,Bangalore",5,4000,6.6
1518,"PNB Layout, Konanakunte,Bangalore",10,4200,2.5
1519,"Corporation ,East Of NGEF Layout, Kasturi Nagar,Bangalore",5,3500,6
1520,"Sri krishna real estate ,Thotada Guddadhalli Village,Bangalore",4,1800,0.9
1521,"Banashankari 6th Stage 6th Block,Bangalore",4,1900,1.1
1522,"Seeghehalli, Krishnarajapura,Bangalore",7,3600,1.9
1523,"Kattigenahalli,Bangalore",2,3000,1.08
1524,"Virgonagar, Aavalahalli,Bangalore",5,2252,0.85
1525,"Margondanahalli,Bangalore",2,1000,1.2
1526,"Kada Agrahara ,Bangalore",2,1050,0.75
1527,"Rajajinagar,Bangalore",7,5000,4.3
1528,"Doddabanalli circle off white field road near safely market,Chikkabana Halli,Bangalore",4,2200,0.99
1529,"Hancharahalli Village,Bangalore",3,1900,1.1
1530,"Vivekananda Nagar, Banashankari,Bangalore",3,1350,2.6
1531,"Mattanahalli,Bangalore",3,1450,0.79
1532,"Srikrupa Layout, Abbigere, Abbigere,Bangalore",5,4600,1.95
1533,"Bangalore City Municipal Corporation Layout,Bangalore",5,5000,2.5
1534,"BEL, Vidyaranyapura,Bangalore",9,12321,9
1535,"Raghavendra Layout Chikkabanavara,Thammenahalli Village,Bangalore",4,1000,1.75
1536,"Mavalli,Bangalore",10,8000,5.5
1537,"Harapanahalli,Bangalore",4,6000,3.1
1538,"Sai Residency,Railway Layout, Jnana Ganga Nagar,Bangalore",4,1200,3.5
1539,"Yadavanahalli,Bangalore",8,4800,1.1
1540,"Hemmigepura,Bangalore",3,1500,1.3
1541,"BDA Layout BTM 4th Stage, Bommanahalli,Bangalore",4,3900,3.85
1542,"Stage 2, Nagarbhavi,Bangalore",3,3200,3.1
1543,"Singapura Village, Varadharaja Nagar,Bangalore",2,4800,2.75
1544,"Cheemasandra,Bangalore",3,920,0.8
1545,"Bashyam Nagar, Srirampuram,Bangalore",5,7500,5.86
1546,"Ankappa Layout, Uttarahalli Hobli,Bangalore",10,3700,2
1547,"Corporation ,East Of NGEF Layout, Kasturi Nagar,Bangalore",5,3500,6
1548,"Sri krishna real estate ,Thotada Guddadhalli Village,Bangalore",4,1800,0.9
1549,"Margondanahalli,Bangalore",2,1000,1.2
1550,"Hancharahalli Village,Bangalore",3,1900,1.1
1551,"Seeghehalli, Krishnarajapura,Bangalore",7,3600,1.9
1552,"Vivekananda Nagar, Banashankari,Bangalore",3,1350,2.6
1553,"Virgonagar, Aavalahalli,Bangalore",5,2252,0.85
1554,"Yelahanka,Bangalore",5,4000,6.6
1555,"PNB Layout, Konanakunte,Bangalore",10,4200,2.5
1556,"Banashankari 6th Stage 6th Block,Bangalore",4,1900,1.1
1557,"Doddabanalli circle off white field road near safely market,Chikkabana Halli,Bangalore",4,2200,0.99
1558,"Rajajinagar,Bangalore",7,5000,4.3
1559,"Kada Agrahara ,Bangalore",2,1050,0.75
