id,Name of the place,BHK,Buildup Area (sq.ft),Price (Cr.)
1075,"Yadavanahalli,Bangalore",8,4800,1.1
1076,"Singapura Village, Varadharaja Nagar,Bangalore",2,4800,2.75
1077,"Cheemasandra,Bangalore",3,920,0.8
1078,"Hemmigepura,Bangalore",3,1500,1.3
1079,"Ankappa Layout, Uttarahalli Hobli,Bangalore",10,3700,2
1080,"BDA Layout BTM 4th Stage, Bommanahalli,Bangalore",4,3900,3.85
1081,"Stage 2, Nagarbhavi,Bangalore",3,3200,3.1
1082,"Harapanahalli,Bangalore",4,6000,3.1
1083,"BEL, Vidyaranyapura,Bangalore",9,12321,9
1084,"Bashyam Nagar, Srirampuram,Bangalore",5,7500,5.86
1085,"Raghavendra Layout Chikkabanavara,Thammenahalli Village,Bangalore",4,1000,1.75
1086,"Mavalli,Bangalore",10,8000,5.5
1087,"Yelahanka,Bangalore",5,4000,6.6
1088,"PNB Layout, Konanakunte,Bangalore",10,4200,2.5
1089,"Corporation ,East Of NGEF Layout, Kasturi Nagar,Bangalore",5,3500,6
1090,"Sri krishna real estate ,Thotada Guddadhalli Village,Bangalore",4,1800,0.9
1091,"Banashankari 6th Stage 6th Block,Bangalore",4,1900,1.1
1092,"Seeghehalli, Krishnarajapura,Bangalore",7,3600,1.9
1093,"Kattigenahalli,Bangalore",2,3000,1.08
1094,"Virgonagar, Aavalahalli,Bangalore",5,2252,0.85
1095,"Margondanahalli,Bangalore",2,1000,1.2
1096,"Kada Agrahara ,Bangalore",2,1050,0.75
1097,"Rajajinagar,Bangalore",7,5000,4.3
1098,"Doddabanalli circle off white field road near safely market,Chikkabana Halli,Bangalore",4,2200,0.99
1099,"Hancharahalli Village,Bangalore",3,1900,1.1
1100,"Vivekananda Nagar, Banashankari,Bangalore",3,1350,2.6
1101,"Mattanahalli,Bangalore",3,1450,0.79
1102,"Raghavendra Layout Chikkabanavara,Thammenahalli Village,Bangalore",4,1000,1.75
1103,"Bashyam Nagar, Srirampuram,Bangalore",5,7500,5.86
1104,"BDA Layout BTM 4th Stage, Bommanahalli,Bangalore",4,3900,3.85
1105,"Stage 2, Nagarbhavi,Bangalore",3,3200,3.1
1106,"Bangalore City Municipal Corporation Layout,Bangalore",5,5000,2.5
1107,"Hemmigepura,Bangalore",3,1500,1.3
1108,"Sai Residency,Railway Layout, Jnana Ganga Nagar,Bangalore",4,1200,3.5
1109,"Mavalli,Bangalore",10,8000,5.5
1110,"Harapanahalli,Bangalore",4,6000,3.1
1111,"BEL, Vidyaranyapura,Bangalore",9,12321,9
1112,"Cheemasandra,Bangalore",3,920,0.8
1113,"Ankappa Layout, Uttarahalli Hobli,Bangalore",10,3700,2
1114,"Srikrupa Layout, Abbigere, Abbigere,Bangalore",5,4600,1.95
1115,"Yadavanahalli,Bangalore",8,4800,1.1
1116,"Singapura Village, Varadharaja Nagar,Bangalore",2,4800,2.75
1117,"Vivekananda Nagar, Banashankari,Bangalore",3,1350,2.6
1118,"Banashankari 6th Stage 6th Block,Bangalore",4,1900,1.1
1119,"Rajajinagar,Bangalore",7,5000,4.3
1120,"Seeghehalli, Krishnarajapura,Bangalore",7,3600,1.9
1121,"Mattanahalli,Bangalore",3,1450,0.79
1122,"Srikrupa Layout, Abbigere, Abbigere,Bangalore",5,4600,1.95
1123,"Mavalli,Bangalore",10,8000,5.5
1124,"BDA Layout BTM 4th Stage, Bommanahalli,Bangalore",4,3900,3.85
1125,"Stage 2, Nagarbhavi,Bangalore",3,3200,3.1
1126,"Harapanahalli,Bangalore",4,6000,3.1
1127,"Bangalore City Municipal Corporation Layout,Bangalore",5,5000,2.5
1128,"Raghavendra Layout Chikkabanavara,Thammenahalli Village,Bangalore",4,1000,1.75
1129,"Sai Residency,Railway Layout, Jnana Ganga Nagar,Bangalore",4,1200,3.5
1130,"Hemmigepura,Bangalore",3,1500,1.3
1131,"BEL, Vidyaranyapura,Bangalore",9,12321,9
1132,"Bashyam Nagar, Srirampuram,Bangalore",5,7500,5.86
1133,"Yadavanahalli,Bangalore",8,4800,1.1
1134,"Singapura Village, Varadharaja Nagar,Bangalore",2,4800,2.75
1135,"Cheemasandra,Bangalore",3,920,0.8
1136,"Ankappa Layout, Uttarahalli Hobli,Bangalore",10,3700,2
1137,"Corporation ,East Of NGEF Layout, Kasturi Nagar,Bangalore",5,3500,6
1138,"Sri krishna real estate ,Thotada Guddadhalli Village,Bangalore",4,1800,0.9
1139,"Margondanahalli,Bangalore",2,1000,1.2
1140,"Hancharahalli Village,Bangalore",3,1900,1.1
1141,"Mattanahalli,Bangalore",3,1450,0.79
